localized_mode	z_center	localized_shape	localized_fake_rdm_weight	localized_representability	localized_rule_bucket	dominant_svd_mode	dominant_svd_overlap	dominant_svd_status	dominant_svd_representability	dominant_svd_fake_rdm_weight	dominant_svd_label	dominant_svd_channel
78	1.8133236567107385	atom_local	0.7809162970633555	0.9895987140233119	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	102	0.13397007378777676	dropped	0.9654794281328919	0.010276401326699824	b_py7	py
79	1.8133236567253077	atom_local	0.7809162970525818	0.9895987140280034	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	101	0.13397007280385945	dropped	0.9654794281417479	0.01027640133194993	b_px7	px
80	1.830742928957564	atom_local	0.7226722993228214	0.9856517749052796	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	86	0.17910641271841032	kept	0.9964326001547318	0.262973600945393	a_s3	s
81	1.9181897353833843	atom_local	1.2629530908232312	0.9965047846235808	strict_fake_ge_1e_m3_repr_ge_0p99	93	0.15208382684119817	kept	0.9937024873600776	0.1504009856375484	b_py7	py
82	1.9181897353868633	atom_local	1.262953090843867	0.99650478462418	strict_fake_ge_1e_m3_repr_ge_0p99	92	0.1520838268532625	kept	0.9937024873601702	0.150400985643231	b_px7	px
83	2.024948190885925	atom_local	0.7486306558490554	0.964633665463177	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	21	0.10351245628833655	kept	0.999957910909609	0.7376842986063016	a_dzz6	dzz
84	2.048452110144167	atom_local	0.7386262949108572	0.9983252500223818	strict_fake_ge_1e_m3_repr_ge_0p99	12	0.2531281198569233	kept	0.9999900493386757	1.7923105937418549	a_dyy2	dyy
85	2.048452110144193	atom_local	1.1010982107604033	0.9991379632158548	strict_fake_ge_1e_m3_repr_ge_0p99	23	0.19065135591557833	kept	0.9999547491315816	2.3255553427145057	a_dxy2	dxy
86	2.0760624387514244	atom_local	0.611783729794804	0.9917494179906385	strict_fake_ge_1e_m3_repr_ge_0p99	100	0.10176928881984364	dropped	0.9679052218120436	0.008928597429457931	a_px7	px
87	2.0760624387556184	atom_local	0.6117837297616339	0.9917494179903822	strict_fake_ge_1e_m3_repr_ge_0p99	99	0.10176928915614902	dropped	0.9679052218134182	0.0089285974304042	a_py7	py
88	2.254632497492966	atom_local	0.9709620833379793	0.9760263057960151	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	50	0.11968808525796755	kept	0.9996673648374477	0.3341057939842914	a_s3	s
89	2.444277465324697	atom_local	0.8867232534019625	0.9966005345472966	strict_fake_ge_1e_m3_repr_ge_0p99	67	0.17381952522501806	kept	0.9990057341720701	0.5225030264444559	b_px7	px
90	2.44427746532696	atom_local	0.8867232533969222	0.9966005345474385	strict_fake_ge_1e_m3_repr_ge_0p99	68	0.17381952542493068	kept	0.9990057341719724	0.5225030265614596	b_py7	py
91	2.493320730697965	atom_local	0.5137722321006553	0.9845656890119723	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	90	0.11740883691296791	kept	0.9947038952603127	0.07145914151835832	a_pz3	pz
92	2.7470919911998424	bond_axis_midbond	0.7726594682255536	0.975897114324792	fake_high_bond_spanning	7	0.15626491638330167	kept	0.9999958483310043	2.641558431186848	b_s9	s
93	2.9013110313391755	atom_local	0.23807404745797692	0.9726362521772985	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	66	0.11739080139788986	kept	0.9990182251490013	0.3281644505505954	b_s3	s
94	3.098168761562496	atom_local	0.6332143194213602	0.9992418296063039	strict_fake_ge_1e_m3_repr_ge_0p99	38	0.25054315646845304	kept	0.9998467136320743	0.33492458317257146	b_dyy6	dyy
95	3.0981687615625	atom_local	0.9252284570464016	0.9995631997439578	strict_fake_ge_1e_m3_repr_ge_0p99	36	0.22500237790258126	kept	0.9998860893489391	0.5541213663157283	b_dxy6	dxy
96	3.123547521284662	atom_local	1.008527680988931	0.9987411070680854	strict_fake_ge_1e_m3_repr_ge_0p99	25	0.14992815786502967	kept	0.9999529129534999	0.9878867343403537	b_py3	py
97	3.1235475212849133	atom_local	1.0085276809881467	0.9987411070681094	strict_fake_ge_1e_m3_repr_ge_0p99	26	0.14992815785727506	kept	0.9999529129534975	0.9878867343560057	b_px3	px
98	3.343824877401314	atom_local	0.6347811550216238	0.9907521842969714	strict_fake_ge_1e_m3_repr_ge_0p99	30	0.11137101200129948	kept	0.9999288279255926	1.3147854539595694	b_s3	s
99	3.5532184862632983	atom_local	2.0483570557974797	0.9968687443948436	strict_fake_ge_1e_m3_repr_ge_0p99	2	0.15491984749198448	kept	0.9999996765191803	3.6061957132029576	b_s3	s
100	4.349555556766959	transverse_bond	0.9968595222244168	0.9994411358017656	strict_fake_ge_1e_m3_repr_ge_0p99	52	0.14508808406424661	kept	0.9996597556798843	0.5460989430517255	b_py3	py
101	4.34955555676716	transverse_bond	0.996859522224783	0.9994411358017895	strict_fake_ge_1e_m3_repr_ge_0p99	51	0.14508808410251398	kept	0.9996597556799727	0.5460989431064366	b_px3	px
102	4.5376040583837405	atom_local	0.9132771574792399	0.9929741215859902	strict_fake_ge_1e_m3_repr_ge_0p99	41	0.09951874495971673	kept	0.999837034452692	0.6261855909233744	b_pz7	pz
103	5.131522308846978	outer_tail	0.5507093692599647	0.9871648962682309	fake_high_ambiguous_or_poor	96	0.23409988556506953	dropped	0.9876836478668878	0.012254803639552156	a_s4	s
104	5.798131209236177	outer_tail	1.197154669153897	0.997208071237229	strict_fake_ge_1e_m3_repr_ge_0p99	8	0.12705230384122249	kept	0.999992894085355	1.6174192730497188	a_s4	s
105	6.247944814708774	transverse_bond	0.8794468685974844	0.9990891582824795	strict_fake_ge_1e_m3_repr_ge_0p99	18	0.140760277564342	kept	0.99997616351373	1.6275330620445951	a_py4	py
106	6.247944814710413	transverse_bond	0.8794468685967706	0.999089158282616	strict_fake_ge_1e_m3_repr_ge_0p99	19	0.1407602775352944	kept	0.9999761635137286	1.6275330618249269	a_px4	px
107	8.031097796363564	bond_axis_midbond	0.7935469995774265	0.9992566328259861	strict_fake_ge_1e_m3_repr_ge_0p99	47	0.23039743272636226	kept	0.9998011554291764	0.44777590895380964	a_s9	s
108	9.185825405074317	bond_axis_midbond	0.32166482125115425	0.9992060402514744	strict_fake_ge_1e_m3_repr_ge_0p99	55	0.23010673130544865	kept	0.9995465538468957	0.3400799214455119	a_s4	s
